kanji,onyomi,kunyomi,meaning
析%@,sekiセキ%@,%@,"chop, divide, tear, analyze%@"
譲%@,jouジョウ%@,yuzu(ru)ゆず(る)%@,"defer, turnover, transfer, convey%@"
称%@,shouショウ%@,"tata(eru), tona(eru), a(geru), kana(u), haka(ri), home(ru)たた(える)、 とな(える)、 あ(げる)、 かな(う)、 はか(り)、 ほめ(る)%@","appellation, praise, admire, name, title, fame%@"
納%@,"nou, natsu, na, nan, touノウ、 ナッ、 ナ、 ナン、 トウ%@","osa(meru), -osa(meru)おさ(める)、 -おさ(める)%@","settlement, obtain, reap, pay, supply, store%@"
樹%@,juジュ%@,kiき%@,"timber, trees, wood, establish, set up%@"
挑%@,chouチョウ%@,ido(mu)いど(む)%@,"challenge, contend for, make love to%@"
誘%@,yuuユウ%@,"saso(u), izana(u)さそ(う)、 いざな(う)%@","entice, lead, tempt, invite, ask, call for, seduce, allure%@"
紛%@,funフン%@,"magi(reru), -magi(re)まぎ(れる)、 -まぎ(れ)%@","distract, be mistaken for, go astray, divert%@"
至%@,shiシ%@,ita(ru)いた(る)%@,"climax, arrive, proceed, reach, attain, result in%@"
宗%@,"shuu, souシュウ、 ソウ%@",muneむね%@,"religion, sect, denomination, main point, origin, essence%@"
促%@,sokuソク%@,unaga(su)うなが(す)%@,"stimulate, urge, press, demand, incite%@"
慎%@,shinシン%@,"tsutsushi(mu), tsutsu(mashii), tsutsushiつつし(む)、 つつ(ましい)、 つつし%@","humility, be careful, discreet, prudent%@"
控%@,kouコウ%@,hika(eru)ひか(える)%@,"withdraw, draw in, hold back, refrain from, be moderate%@"
智%@,chiチ%@,%@,"wisdom, intellect, reason%@"
握%@,akuアク%@,nigi(ru)にぎ(る)%@,"grip, hold, mould sushi, bribe%@"
宙%@,chuuチュウ%@,%@,"mid-air, air, space, sky, memorization, interval of time%@"
俊%@,shunシュン%@,%@,"sagacious, genius, excellence%@"
銭%@,"sen, zenセン、 ゼン%@","zeni, sukiぜに、 すき%@","coin, .01 yen, money%@"
渋%@,"juu, shuuジュウ、 シュウ%@","shibu, shibu(i)しぶ、 しぶ(い)%@","astringent, hesitate, reluctant, have diarrhea%@"
銃%@,juuジュウ%@,tsutsuつつ%@,"gun, arms%@"
操%@,"sou, sanソウ、 サン%@","misao, ayatsu(ru)みさお、 あやつ(る)%@","maneuver, manipulate, operate, steer, chastity, virginity, fidelity%@"
携%@,keiケイ%@,tazusa(eru)たずさ(える)%@,"portable, carry (in hand), armed with, bring along%@"
診%@,み(る)シン%@,mi(ru)み(る)%@,"checkup, seeing, diagnose, examine%@"
託%@,takuタク%@,"kakotsu(keru), kako(tsu)かこつ(ける)、 かこ(つ)%@","consign, requesting, entrusting with, pretend, hint%@"
撮%@,satsuサツ%@,"to(ru), tsuma(mu), -do(ri)と(る)、 つま(む)、 -ど(り)%@","snapshot, take pictures%@"
誕%@,tanタン%@,%@,"nativity, be born, declension, lie, be arbitrary%@"
侵%@,shinシン%@,oka(su)おか(す)%@,"encroach, invade, raid, trespass, violate%@"
括%@,katsuカツ%@,kuku(ru)くく(る)%@,"fasten, tie up, arrest, constrict%@"
謝%@,shaシャ%@,ayama(ru)あやま(る)%@,"apologize, thank, refuse%@"
孝%@,"kou, kyouコウ、 キョウ%@",%@,"filial piety, child's respect%@"
駆%@,kuク%@,ka(keru)か(ける)%@,"drive, run, gallop, advance, inspire, impel%@"
透%@,touトウ%@,"su(ku), tou(ru)す(く)、 とう(る)%@","transparent, permeate, filter, penetrate%@"
津%@,shinシン%@,tsuつ%@,"haven, port, harbor, ferry%@"
壁%@,hekiヘキ%@,kabeかべ%@,"wall, lining (stomach), fence%@"
稲%@,"tou, teトウ、 テ%@","ine, ina-いね、 いな-%@",rice plant%@
仮%@,"ka, keカ、 ケ%@","kari, kari-かり、 かり-%@","sham, temporary, interim, assumed (name), informal%@"
裂%@,retsuレツ%@,"sa(ku), -gi(re)さ(く)、 -ぎ(れ)%@","split, rend, tear%@"
敏%@,binビン%@,satoiさとい%@,"cleverness, agile, alert%@"
是%@,"ze, shiゼ、 シ%@","kore, kono, kokoこれ、 この、 ここ%@","just so, this, right, justice%@"
排%@,haiハイ%@,%@,"repudiate, exclude, expel, reject, line up, arrange%@"
裕%@,yuuユウ%@,%@,"abundant, rich, fertile%@"
堅%@,kenケン%@,"kata(i), -gata(i)かた(い)、 -がた(い)%@","strict, hard, solid, tough, tight, reliable%@"
訳%@,yakuヤク%@,wakeわけ%@,"translate, reason, circumstance, case%@"
芝%@,shiシ%@,shibaしば%@,"turf, lawn%@"
綱%@,kouコウ%@,tsunaつな%@,"hawser, class (genus), rope, cord, cable%@"
典%@,"ten, denテン、 デン%@","fumi, noriふみ、 のり%@","code, ceremony, law, rule%@"
賀%@,gaガ%@,%@,"congratulations, joy%@"
扱%@,"sou, kyuuソウ、 キュウ%@","atsuka(i), ko(ku)あつか(い)、 こ(く)%@","handle, entertain, thresh, strip%@"
顧%@,koコ%@,kaeri(miru)かえり(みる)%@,"look back, review, examine oneself, turn around%@"
弘%@,"kou, guコウ、 グ%@",hiro(i)ひろ(い)%@,"vast, broad, wide%@"
看%@,kanカン%@,mi(ru)み(る)%@,"watch over, see%@"
訟%@,shouショウ%@,%@,"sue, accuse%@"
戒%@,kaiカイ%@,imashi(meru)いまし(める)%@,commandment%@
祉%@,shiシ%@,%@,"welfare, happiness%@"
誉%@,yoヨ%@,"homa(re), ho(meru)ほま(れ)、 ほ(める)%@","reputation, praise, honor, glory%@"
歓%@,kanカン%@,yoroko(bu)よろこ(ぶ)%@,"delight, joy%@"
奏%@,souソウ%@,kana(deru)かな(でる)%@,"play music, speak to a ruler, complete%@"
勧%@,"kan, kenカン、 ケン%@",susu(meru)すす(める)%@,"persuade, recommend, advise, encourage, offer%@"
騒%@,souソウ%@,"sawa(gu), ureiさわ(ぐ)、 うれい%@","boisterous, make noise, clamor, disturb, excite%@"
閥%@,batsuバツ%@,%@,"clique, lineage, pedigree, faction, clan%@"
甲%@,"kou, kanコウ、 カン%@",kinoeきのえ%@,"armor, high (voice), A grade, first class, former, instep, carapace%@"
縄%@,jouジョウ%@,"nawa, tada(su)なわ、 ただ(す)%@","straw rope, cord%@"
郷%@,"kyou, gouキョウ、 ゴウ%@",satoさと%@,"home town, village, native place, district%@"
揺%@,youヨウ%@,"yu(reru), ugo(ku)ゆ(れる)、 うご(く)%@","swing, shake, sway, rock, tremble, vibrate%@"
免%@,menメン%@,"manuka(reru), manuga(reru)まぬか(れる)、 まぬが(れる)%@","excuse, dismissal%@"
既%@,kiキ%@,sude(ni)すで(に)%@,"previously, already, long ago%@"
薦%@,senセン%@,susu(meru)すす(める)%@,"recommend, mat, advise, encourage, offer%@"
隣%@,rinリン%@,"tona(ru), tonariとな(る)、 となり%@",neighboring%@
華%@,"ka, keカ、 ケ%@",hanaはな%@,"splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous%@"
